Genes	Protein.Group	Protein.Names	DOUBLEdep_1	DOUBLEdep_2	DOUBLEdep_3	SONdep_1	SONdep_2	SONdep_3	SRRM2-dep_1	SRRM2dep_2	SRRM2dep_3	control_1	control_2	control_3	Top3_DOUBLEdep_1	Top3_DOUBLEdep_2	Top3_DOUBLEdep_3	Top3_SONdep_1	Top3_SONdep_2	Top3_SONdep_3	Top3_SRRM2-dep_1	Top3_SRRM2dep_2	Top3_SRRM2dep_3	Top3_control_1	Top3_control_2	Top3_control_3	peptides_counts_all
DNAJC11	Q9NVH1;Q9NVH1-3	DJC11_HUMAN	58021.2	63516.3	57325.2	61308.2	61259.8	65993.9	55461.8	67197.5	65567.1	52714	47363.8	52901.9	23254.4987918869	37343.0916194583	54873.0045957669	35089.9669000672	63161.0383053305	61158.9659831391	44645.3787823655	38769.7262790722	38406.1352634006	26229.1600897414	41135.8710650946	45882.0826077548	17
DNAJC13	O75165	DJC13_HUMAN	25845.2	25375	28879.8	30285.5	26187	25506.3	26343.5	27760.7	26904.4	24894.5	24750.3	21641	24102.9580072369	21961.8781805824	31404.2698953585	29930.3755675173	26804.1572862284	25286.8683331085	18552.0318831426	26803.6756278057	26842.1272095441	22345.8385375385	22075.046725347	18281.0849226362	19
DNAJC16	Q9Y2G8	DJC16_HUMAN	7388.14	7841.6	8421.29	7966.72	9021.55	7951.16	4888.62	5955.49	7485.31	6114.49	7509.78	6552.51	7008.34451856253	7149.29198474038	7480.58373250258	6770.40707186877	7617.64420364534	8329.13061392112	2368.08464777218	6634.21695910665	6784.64521585288	4065.41634217777	5881.61902326173	4403.15642273364	6
DNAJC17	Q9NVM6	DJC17_HUMAN	41019.4	41707.1	33313	37181	47562.9	37576.2	33419.3	39253.5	36834.2	46357.1	43237.8	53226.8	31336.301986779	33236.4159470241	23934.8723008652	34660.2878767652	35744.7352406277	24351.208562805	20959.7501953209	31607.5730784679	24826.7573843845	26821.8608306779	24542.8592461376	24788.6523234949	9
DNAJC19	Q96DA6;Q96DA6-2	TIM14_HUMAN	8266.87	17205.4	10474.7	10080.1	7752.11	NA	6883.17	11179.5	12923	NA	7158.1	7888.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DNAJC2	Q99543	DNJC2_HUMAN	44518.4	40343.4	40913.1	43452.2	39651.6	41106.2	35487.2	35449.1	39594.6	42721.2	36654.7	41361.8	41817.419421202	36922.1270958785	39659.926929009	40928.3400773498	35621.2945791043	43292.1968616672	29846.8396530787	34784.8517464975	40806.6613339226	38206.2890100483	33917.5227114865	37756.5204399061	13
DNAJC21	Q5F1R6;Q5F1R6-2;Q5F1R6-3	DJC21_HUMAN	22028.4	22293.3	22236.3	23360.4	20021.4	22300.2	19992.5	24027	21475.7	21493.2	22459.1	20261.2	20151.1703480908	18862.3516363501	22249.5364816256	21446.959391547	16362.4796778743	18398.8086537712	11145.5474504315	23599.8367248471	17539.7545108733	17885.5195716581	17854.8869775985	15284.8615344468	10
DNAJC3	Q13217	DNJC3_HUMAN	43466.6	45639.2	40690.1	36420.8	40295.3	32813	36249.1	37779.1	32523.4	31580.9	34197.9	39768.9	36365.2235049711	39328.5430233463	38396.826585519	33521.4670788648	36694.9340407476	24736.1685578533	26361.1849303105	31775.934954286	28676.3229414123	25705.9106639579	24415.912551467	24986.2888039976	11
DNAJC30	Q96LL9	DJC30_HUMAN	6141.36	11158.2	8727.56	10725.8	5006.12	9555.21	6654.22	11843	8695.16	4411.5	3415.45	7154.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DNAJC5	Q9H3Z4;Q9H3Z4-2	DNJC5_HUMAN	15918.5	15145.5	16460.2	15760	16368	17048.3	11943.7	12734.4	15462.2	10847.2	10451.8	10264.5	11924.3401501502	10777.680724109	13427.6534064379	11926.4052312944	14593.7492498976	13738.4969990133	9614.54093681869	10003.7319157375	11999.6990209697	9338.6039346294	9914.30830594114	8133.69303572018	3
DNAJC6	O75061;O75061-2;O75061-4	AUXI_HUMAN	6754.5	7546.76	7671.81	5956.72	5876.3	4733.09	5424.8	6611.47	6133.54	7245.46	4846.87	3732.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DNAJC7	Q99615	DNJC7_HUMAN	74591.7	85167.1	71688.1	85052.9	68964.9	78597.4	53363.5	89433.5	76117.2	62299.6	58013	59766	61648.99441481	70032.7777981337	63778.1566991861	80890.244326714	58746.2665672737	78752.1974124416	44920.5751839125	85474.4082969562	76117.0846851027	53938.5215541373	42133.1769908167	50291.6354864108	24
DNAJC8	O75937	DNJC8_HUMAN	60737	86935.4	123149	124903	99161	116102	56064.9	100306	83442.7	95930	81599.3	76711.8	39857.6341401295	58571.7388859417	58276.001815723	64115.8029455995	53566.6251332998	54420.2520206236	21188.329661213	73360.0117634089	58247.1878141968	44499.609087587	28102.7187833672	35869.398582497	9
DNAJC9	Q8WXX5	DNJC9_HUMAN	60331.1	70056.6	65146.2	71698.1	63366.3	62636.4	39427	75992.4	67201.1	62263.4	43063.1	40918.3	47181.3553573443	49928.9194496296	57715.8586717272	59525.4412053175	55329.2892622622	52020.2807663775	35493.1800901165	61801.9588548117	57484.4292445226	50338.7414758462	38534.0600300913	42810.7887047745	13
DNAL1	Q4LDG9;Q4LDG9-3	DNAL1_HUMAN	1950.97	3757.82	2747.5	4466.42	3778.23	4723.39	1904.12	5460.4	4326.84	2693.64	2979.58	3035.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DNM1	Q05193;Q05193-2;Q05193-3;Q05193-5	DYN1_HUMAN	NA	NA	NA	1661.22	NA	NA	1393.15	2044.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DNM1L	O00429-2;O00429-4	DNM1L_HUMAN	101818	93982.5	100286	105633	102962	106353	94940.4	93791.1	97445.7	103274	92690.3	100356	85913.5790100145	93497.6914931924	92331.3468075791	99561.6289547831	102508.503276531	114015.316614029	88786.2973819887	101316.804537717	94707.4246831559	84759.551190546	85354.070047066	97598.1556969564	32
DNM2	P50570;P50570-2;P50570-5	DYN2_HUMAN	28387.5	29054.9	33323.7	32460.3	31552.2	32713.2	28038	26399.8	27764.5	27816.9	27798.9	25804.1	24719.9993082542	32720.3952031465	28078.085568459	31118.5527309803	28742.7388285892	34483.8271998569	25078.1846054179	31181.8234946001	33358.1446292779	23691.0115913386	24760.69072048	23770.2235953162	21
DNM3	Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4	DYN3_HUMAN	12936.1	12054.4	14169.2	11026.7	12947	11073	8331.38	9767.82	8362.92	13678.2	13211.6	15364.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DNMBP	Q6XZF7	DNMBP_HUMAN	23809.8	22605.6	25707.2	23555.6	23607.7	22556.3	24935.2	23008.1	20840.6	21286	25041.8	22493.1	22486.1340235641	21101.1674966531	24795.0845280225	19995.3484204265	24361.3814478438	24053.2942681689	24164.3194860859	18611.234893059	17465.2087707654	19703.7634210662	23576.8470287111	19923.9294760591	17
DNMT1	P26358	DNMT1_HUMAN	97793.1	103164	97816.7	102009	94816.2	94268.7	141473	174440	186856	182761	168432	162311	77630.7719136857	82853.7360137746	99355.1108608157	79340.0482895288	83618.2560822177	65430.0584766733	135452.806213469	133685.608953437	157290.99083343	169530.649014452	173254.624844554	132419.94928705	41
DNMT3B	Q9UBC3;Q9UBC3-2;Q9UBC3-3;Q9UBC3-4;Q9UBC3-5;Q9UBC3-6;Q9UBC3-7;Q9UBC3-8	DNM3B_HUMAN	2549.03	4057.59	3454.46	3382.31	2818.38	2785.96	2542.85	4135.78	4782.13	3755.52	NA	5569.75	NA	2846.76724028461	2930.90640795691	3449.84597629808	2353.47041646393	3312.91116989443	2255.7801644097	4339.74933629502	4108.44290952346	NA	NA	NA	3
DNPEP	Q9ULA0;Q9ULA0-2	DNPEP_HUMAN	24690.2	24279.7	25680.2	27192.4	31285.1	22116.3	41779.8	29096.3	26672.9	35576.6	39893.9	39002.2	17124.9790644117	19581.657919818	19437.2654387862	18005.3722558197	21957.2312639388	16006.626007726	27757.1643555682	21821.0944404439	20480.2203279473	24036.7975383804	28201.2068073128	26992.2229598919	9
DNTTIP1	Q9H147	TDIF1_HUMAN	21737.4	23377.6	21779.7	27732	21376.6	26757.4	10339.7	18937.6	24824.3	25769.3	9231.6	19624.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DNTTIP2	Q5QJE6	TDIF2_HUMAN	48682.3	58946.6	47306.2	50226.3	48322.9	47865.9	37249.5	55414.6	54132.6	45261.5	37306.1	39418.4	47056.6253646967	49971.2459663615	50630.7200851979	47780.6031507788	50226.7333523704	44629.2796005305	35356.2410714285	54095.9367901798	54195.0949632572	38257.372153125	38437.2878049674	44128.9908916471	25
DOCK1	Q14185	DOCK1_HUMAN	8822.04	9311.13	9552.83	10100	10423.7	9228.35	10684.3	11162.9	8798.71	9089.67	11210.6	11464.3	8078.65987143576	9987.46980813096	10889.8575237624	9357.03148211759	8895.88977132865	9617.29407409113	6114.28296570581	11169.825304865	9160.74009267151	9004.85393086009	8799.06487752529	8268.20483865031	8
DOCK4	Q8N1I0;Q8N1I0-2;Q8N1I0-3	DOCK4_HUMAN	NA	NA	NA	38149.2	NA	28201.1	NA	NA	36975.5	NA	34506.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DOCK5	Q9H7D0	DOCK5_HUMAN	16163.2	13703.2	15998	14626.4	15915.6	14612.9	13831.6	12947.5	13114.2	15593.8	13193.6	14195.5	15595.5826504734	12172.4115095891	13318.5322395566	13479.5886748914	14508.5342238594	14824.4135261563	10342.7904699459	12575.4493421961	11244.6440233025	12871.049107284	9969.30385391485	9468.49007808823	14
DOCK6	Q96HP0	DOCK6_HUMAN	34182.2	30944.3	NA	28146.1	38358.6	23215.8	19528	52993.3	47322.4	32083.8	42829.6	40903.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DOCK7	Q96N67;Q96N67-2;Q96N67-3;Q96N67-4;Q96N67-5;Q96N67-6	DOCK7_HUMAN	37341.7	38669.9	40261.1	36866.1	39196.9	36069.9	32336	35341.1	35993.2	33159.2	32269.2	34709.6	53516.9139429055	23793.7416139679	23748.7821627841	18626.8027065664	26652.0091873166	20747.3760513703	24660.2405195794	26061.2294014571	24172.3036040746	20085.3126952912	60571.9258710059	24347.6894827923	24
DOCK8	Q8NF50;Q8NF50-2;Q8NF50-3;Q8NF50-4	DOCK8_HUMAN	51019.7	60580.4	NA	87478.2	72909.5	61244.4	NA	65121.5	82150.6	NA	55090.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DOCK9	Q9BZ29-4	DOCK9_HUMAN	11120.8	10886.1	10392.1	11481.5	8003.58	11042	10109.5	10592	12940.4	11243.8	10352.7	8164.39	9084.07926474998	9494.27806931773	8789.42176364781	9530.4493734713	6777.3130919528	10241.76267335	7700.69695944692	11778.8384279968	13358.6166206962	8120.02156936394	8671.30168896665	6764.95991528364	7
DOHH	Q9BU89	DOHH_HUMAN	NA	7563.91	NA	NA	4417.45	6757.06	NA	7815.62	7199.03	4475.5	2060.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DOK1	Q99704;Q99704-3	DOK1_HUMAN	NA	4018.44	3616.6	3869.51	4580.95	NA	5181	5018.75	4094.23	6151.59	4397.99	4993.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DONSON	Q9NYP3	DONS_HUMAN	3767.98	4960.79	4345.85	3042.14	4706.52	5780.37	5790.46	4766.2	4736.56	4797.25	6472.37	5148.34	3422.36235348037	4566.76947016722	4496.02111923525	2816.54391826264	3756.1960418555	4367.44885118071	3855.90247884486	3573.79464088196	4147.69675266396	3518.13627008133	3579.56876888713	NA	4
DOP1B	Q9Y3R5;Q9Y3R5-2	DOP2_HUMAN	1707.61	2119.03	2434.41	2742.34	2176.28	2821.8	NA	2301.08	1977.08	NA	NA	1268.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DOT1L	Q8TEK3;Q8TEK3-1	DOT1L_HUMAN	NA	3296.81	1997.63	1623.06	3946.1	NA	4637.07	NA	3585.43	3950.19	4429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DPCD	Q9BVM2	DPCD_HUMAN	22288.1	26936.2	19969.1	23740.8	25727.4	23572.2	22424.2	29683	27927	15888.7	24538.3	19605.2	10984.7321768555	12808.2439225653	12081.9691426109	12818.7928035654	9684.71548926448	11172.5028979844	9526.02218537807	15093.8694075503	14820.1622985487	NA	13405.48221969	10542.3279380469	5
DPF2	Q92785	REQU_HUMAN	54173.4	57394.8	59406.7	54236.8	56676.8	46873.5	57781.6	46474.1	45201.2	53258.8	57825.7	57124.1	18945.8655341135	16251.6061463759	20693.0786362049	18932.8047462533	21012.6514120047	20679.1988482842	18952.3807066805	17577.6824966528	16618.3212319427	18059.4170448596	18968.432566083	18971.0186063195	8
DPH1	Q9BZG8	DPH1_HUMAN	6247.69	5690.41	6114.49	5988.71	8023.13	5860.58	6709.88	7718.34	8928.27	12976.3	7462.65	8868.34	5404.45050732822	4635.18234310605	3660.60777680677	5012.43325256548	NA	NA	NA	6449.05885381014	8100.81596954173	9003.52517512467	6128.5182095591	NA	3
DPH2	Q9BQC3	DPH2_HUMAN	7819.92	6778.13	8547.2	6091.93	8035.33	6895.5	12022.9	8094.05	10498.7	9113.43	12777.2	11460	4426.85242782198	4266.47713390004	5384.5803784029	4685.86724379703	5241.25699100868	5456.28718567251	5471.1782005162	6286.16632358923	6443.21689603715	7133.59262476071	7078.64635834348	6917.16471978331	4
DPH3	Q96FX2;Q96FX2-2	DPH3_HUMAN	3206.8	3615.27	4208.14	3063.72	4353.79	1799.08	2770.91	6924.69	3153.22	4046.8	2396.2	4058.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DPH5	Q9H2P9;Q9H2P9-5;Q9H2P9-6	DPH5_HUMAN	12959	14469.5	13697.8	14503.7	12730.9	12395	13142.9	11890.4	12521.8	12069.1	9213.64	9435.79	10505.019397144	11986.4559304742	11508.4924951509	10566.2575819631	9318.66191016167	10079.0554420639	9544.7967069823	9696.19574221643	9112.47932206775	9296.46069745096	8123.26514904458	7471.52495805031	6
DPH6	Q7L8W6	DPH6_HUMAN	7353.23	7764.68	6389.68	7321.81	4413.33	6894.6	4127.13	6838.58	7829	6894.33	5225.79	3564.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DPH7	Q9BTV6	DPH7_HUMAN	7602.54	5941.4	3440.99	5025.16	5159.93	5230.46	6707.93	7015.75	5356.87	4788.57	7229.46	4735.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DPM1	O60762	DPM1_HUMAN	57251.2	45257.9	57518.7	60507.2	62196.3	54458.4	72810.5	60342.8	62013.5	77806.7	74406.6	71468.1	40993.2059492659	34856.3658239641	40562.8443639065	46725.0608436216	40260.6792488392	38794.1680529446	39431.989107297	51105.3258224599	49764.9545283886	46555.2608365116	40086.8237549628	51398.6745312112	6
DPP3	Q9NY33;Q9NY33-4	DPP3_HUMAN	69472.4	67354.8	69774.5	69636.1	61751.9	72809.2	81179	70644.5	79793.6	78209.3	68768.6	75884.3	62293.5320460661	62296.4310625595	69607.6771361089	57559.0906894272	58607.7752169545	69599.4197635968	53662.4733893056	78242.3132715043	73361.3163858819	58149.542838342	63871.3176753692	33985.4012218778	15
DPP7	Q9UHL4	DPP2_HUMAN	5279.08	2643.93	2353.97	4966.76	5171.11	5094.11	2998.07	3936.43	5885	6337.86	NA	5481.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DPP9	Q86TI2;Q86TI2-2	DPP9_HUMAN	19276.8	20150.9	19196.9	22119.6	16985	17751.2	23679	21908.8	23062.1	15156.4	13190	17008.8	14565.7871759489	17451.3099563009	14645.4940569265	12921.0838611989	12013.7650479038	14792.4211672121	13292.4058063752	19252.9205662965	18554.2020445222	7983.51241431309	10110.0243593705	11954.4448914362	11
DPY19L1	Q2PZI1;Q2PZI1-2	D19L1_HUMAN	32193.6	35880	34659.7	35806.6	32275	31151.7	18234.6	27787.5	28984.5	22999.2	31458.9	26479.8	23227.0431715174	25924.1439584903	27009.4211484885	25659.8409822865	26367.0537739926	20570.6964415199	15770.8310230038	22195.5031656176	21104.8367797901	17053.8915667613	25158.2379000412	15658.7774029399	4
DPY30	Q9C005	DPY30_HUMAN	67239.1	82194.1	86352.1	105548	88520.8	86610.7	61468.6	95221.1	87050.7	85511.8	85772.4	94734.6	13612.7908323805	37358.8032008161	19306.522936366	37968.4233138016	17329.0216065064	37962.8016676988	25942.1659841968	40398.5179936347	36511.3236417333	15691.0358889144	16337.4391357324	17960.9600329354	5
DPYSL2	Q16555	DPYL2_HUMAN	100427	108786	102136	111865	89817.7	104052	88709	97431.4	100480	90779.2	83463.3	93487.8	93858.550207004	125789.116907618	106156.010317375	119996.437113416	83455.6281678153	105628.439354223	66797.5506192847	113411.470975465	87389.1105721826	80017.8761084982	74743.3510307219	79472.5386375192	21
DPYSL3	Q14195-2	DPYL3_HUMAN	45998.2	54795.6	49429.5	45929.5	44285.2	48435.4	37818	45873.8	43623	42544.1	35691	39549	37766.197629055	39746.5417721589	46136.1383316672	37100.6886730048	36524.3949616028	41769.1827502698	35024.9400510726	32685.8594099997	34192.9703167079	35663.9098744114	39217.6689542509	30572.8035915895	22
DPYSL5	Q9BPU6	DPYL5_HUMAN	8293.53	8723.55	7485.97	6839.32	9591.96	5945.45	9929.75	6888.58	6067.03	10099.1	10557.8	8316.06	5754.46042251844	5676.74145738914	6627.89297844281	5336.38575033844	6913.67589686972	4929.27893642774	6422.49258421267	4708.41225603443	5926.69424897114	8336.15065740661	5461.41546166297	5036.57707294839	3
DR1	Q01658	NC2B_HUMAN	49086.3	37820.1	51573.4	42276	50797.2	43929.2	43497.2	35365	42487.2	37423.3	40015	48303.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DRAP1	Q14919;Q14919-2	NC2A_HUMAN	49127.4	57252	47509.3	66468.5	62059.1	55281.3	50151.8	52995.7	57612.7	58605	56343.5	60535.7	30383.463260272	34113.0655746828	29647.6384938829	46157.1780755187	34331.5379921255	30448.025458278	29154.5865242942	38217.5436573567	34873.6664112181	40503.1174162601	35933.1589853688	40107.166776584	5
DRG1	Q9Y295	DRG1_HUMAN	194657	203384	170195	182573	184298	214601	131715	180863	178154	160171	144992	152834	113858.687706805	117860.288407051	92736.8784480411	108804.709445767	105860.158176284	163724.679198084	78312.9306914177	105622.784968114	122461.079715491	80208.8143548219	65492.8798633335	73427.5780068874	19
DRG2	P55039	DRG2_HUMAN	27730.4	30306.9	32922.4	34449.4	30365.5	38122.4	27934.3	29254.6	32205.9	34244.4	27143.5	35453.8	17755.5335116474	20577.3706964765	23973.7118302841	22412.3876457428	19631.1897320408	22205.7018249403	12288.016250061	21578.9358591217	24421.9154010891	25604.838377968	18135.0563760848	13657.2775295086	5
DROSHA	Q9NRR4;Q9NRR4-2;Q9NRR4-4	RNC_HUMAN	12345.5	12936.5	12849.3	17877	13820.7	16569	11821.4	12652.2	13464.7	14106.6	13694.2	12332.8	4343.69191392902	NA	NA	NA	5475.72786450254	NA	4573.10332218	NA	NA	5253.38176653143	6140.64894635307	4729.5425818028	4
DSC1	Q08554;Q08554-2	DSC1_HUMAN	2761.02	1318.51	6121.25	2441.81	3019.84	6481.02	7991.1	2672.16	NA	1813.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DSC3	Q14574;Q14574-2	DSC3_HUMAN	NA	2804.01	1966.62	1645.29	3570.4	3358.85	3014.51	2184.49	2361.79	2523.24	2446.54	1167.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DSCC1	Q9BVC3	DCC1_HUMAN	12036.4	13398.7	12537.2	11041.3	10461.3	13130.8	8441.56	15076	12157.9	11192.5	8680.21	11056.8	10868.5924069635	13747.9441735734	11969.608210731	10272.9013049142	10290.1378812552	10760.3205455815	7589.0869225097	12380.1702173018	10322.6258885309	10482.0130327653	7625.54631704974	9433.36441006916	4
DSG1	Q02413	DSG1_HUMAN	4681.26	3567.93	NA	4733.19	4402.13	16632.6	8444.48	7399.19	3057.71	2975.36	3666.86	2756.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DSG2	Q14126	DSG2_HUMAN	52824.4	62897.5	58009.6	61192.5	52272.3	57140.7	54707.9	56949.7	51392.1	50264.7	48867.2	52018	40111.8731128884	47243.8625704599	48231.4095544909	46927.8035277427	41948.7227682691	50257.3097508284	41382.4543746252	47590.9954067742	48290.3454979488	41243.9484979355	42421.0505929351	47440.6965532506	15
DSN1	Q9H410;Q9H410-4	DSN1_HUMAN	14086.6	13239.1	12252	11242.5	11234.2	10828.4	13930.4	13070.4	12936.4	13823.2	14357.2	14201.3	11914.4220908551	9933.52138272267	9140.28315066642	9148.00405625242	10225.2764790511	9365.47166475231	9851.89323007848	10720.2679122629	11574.2774793334	10610.7825437362	10153.5390082867	10302.0337174059	5
DSP	P15924	DESP_HUMAN	84676.6	82838.2	86043.2	86322.7	86223.8	90432.6	80020.8	84344.4	84637.4	92083.3	82353.7	87659	72752.1828093502	76819.0837111173	84100.1313007309	81444.7466342496	84731.8227595491	92443.153223785	60346.9355513726	88510.0225590566	81722.1183020587	77313.5639288799	62687.7044582793	75523.1786319139	73
DST	Q03001	DYST_HUMAN	46198.9	43282.2	44985.2	45065.2	49146.6	44267.2	46065.2	38079.4	41098	46403.7	46336.9	46359.1	32467.58535877	38256.7071032013	43145.0064833947	33628.5312668	26273.0822018434	28075.0375616848	19863.0172774411	23491.6042604367	27377.1708284332	22681.2642137637	15169.4233640974	26028.3366489407	39
DSTN	P60981;P60981-2	DEST_HUMAN	252024	306329	261998	278958	255698	270941	204943	315708	271865	250411	209543	235561	131634.060546854	115632.228389176	123831.964694648	133185.604530858	126615.522097226	131345.598762713	97357.144092791	192695.894546055	139269.026416566	118024.904638373	107895.335818607	125449.848216904	14
DTD1	Q8TEA8	DTD1_HUMAN	45700.5	44775.8	45666.2	46382.7	47239.5	50028.7	43874.9	38531.8	42381.6	37554.6	33688	38501.9	37246.260135341	40815.1360860287	36002.204249407	34363.637645039	28308.3885931221	38027.3930556942	18834.2101444738	39288.242062276	33867.7266201115	28082.0771379532	27480.5751177276	25923.4804702167	7
DTL	Q9NZJ0	DTL_HUMAN	13953.7	11960.4	14175.5	15517.3	13401.9	13903.4	16246.4	12112.2	11274.2	17831.5	17894.1	18395.9	8779.79452623613	6917.66641474134	10764.5304709554	11079.4346502415	9472.45800907784	10749.3021125172	8065.0036706185	7590.97869054489	10289.7564411329	10575.5887340117	9835.68447532001	11101.9741091342	4
DTNB	O60941;O60941-3;O60941-4;O60941-6;O60941-7	DTNB_HUMAN	NA	962.945	6416.4	3999.92	NA	1943.8	2376.52	NA	NA	4194.51	5959.86	1106.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DTNBP1	Q96EV8;Q96EV8-2	DTBP1_HUMAN	10613.2	8857.28	9498.22	10266.2	10405.2	10819.7	12178.4	8642.71	9449.5	11625.4	13520.5	11833.8	11281.2492592896	7878.71525510335	9556.16732682019	9229.8367359975	11615.3301071482	10122.1709985358	8842.92445250013	8905.29574822314	7809.69539512073	11585.0736753098	10773.4555749161	12051.0757125979	5
DTWD1	Q8N5C7;Q8N5C7-2	DTWD1_HUMAN	10569.2	12793.7	10385.7	9636.42	9341.42	12216.1	8358.13	11541.5	10133.6	10467.3	6766.92	9679.59	9280.4548206111	11452.1361657662	10556.0180601904	9055.17103265963	9559.40882995675	12814.5861438924	7904.76478242556	11067.6687136473	10064.0469352692	8415.07408207995	7511.85930813959	8906.27804544825	4
DTX2	Q86UW9;Q86UW9-2	DTX2_HUMAN	11483.7	16754.7	16400.1	15702.9	14467.3	18443.9	20780.4	15259.6	17171.8	19226.5	NA	12991.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DTX3L	Q8TDB6	DTX3L_HUMAN	6790.67	6299.14	6375.18	6652.58	5815.49	7136.62	8136.12	5572.39	9029.14	8731.78	9478.96	9216.72	5913.86688109354	6282.69313906501	6150.59854245959	5208.74420627355	4646.5041387902	6723.36295627919	NA	4881.78420716409	NA	6168.87026853791	7227.10954613792	6103.23385793496	3
DTYMK	P23919	KTHY_HUMAN	55503.3	46584.4	45789.5	44424.7	48867.5	49383.7	49031	46355.7	45447.7	48318.1	44618	48561	41301.0497579589	37648.7696878643	35773.7071659822	35446.0693509997	38351.8011253624	40184.5097606169	36142.0785893274	39158.0978612081	37873.6723284569	39057.7727086826	37177.7857102194	36654.9687337516	9
DUOX1	Q9NRD9;Q9NRD9-2	DUOX1_HUMAN	66150.3	52675.5	55562.8	NA	NA	NA	82735.1	72754.6	53229.7	68915.3	69210.7	70779.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DUS1L	Q6P1R4	DUS1L_HUMAN	11945.1	10986.7	7959.33	11567.4	12626.6	15240.7	22217.7	15073.7	11694.4	18179.7	18073	21522.1	10351.0387830878	11654.677468997	8291.65200335318	4008.57463267707	12212.1279924317	4593.95455430571	13700.9774496409	15536.6764368261	12125.3197080145	11511.0347159873	13749.9051483143	19746.0683667898	5
DUS2	Q9NX74	DUS2L_HUMAN	12363.5	11561.3	14255.2	13165.8	11934.6	14018.4	12169.8	16619.8	14790.3	15308	14256.9	9908.3	10284.3083582991	8782.73231504324	12075.4422841016	9981.33913212469	9615.93127996324	10331.556035694	9336.70902831869	13479.1815039104	12022.3342981666	11161.6673437449	11151.5219781327	9419.57563666454	6
DUS3L	Q96G46	DUS3L_HUMAN	17060.1	17371.8	15892.4	12313.9	15369	11039.2	18578.3	17939.1	24197.4	21681.8	18523.5	21176.5	9376.87245234513	11841.4603939189	11078.9295015977	9371.71970105687	11064.2694721768	7167.58671740347	12993.7741972399	11622.0696402174	16812.9172660933	15209.107476377	15250.8860728993	12643.2418271281	6
DUSP11	O75319	DUS11_HUMAN	6315.93	6981.78	6767.21	5924.03	7491.88	6885.22	3767.98	7295.56	5927.43	4976.9	5214.13	6441.3	4955.34870174745	7189.35029694407	5329.58650366588	5432.37545689448	NA	7008.29780648916	NA	7402.31346588712	6524.41161067289	4098.8508676628	4901.24676272325	5419.21489303035	4
DUSP12	Q9UNI6	DUS12_HUMAN	28117.1	26962.2	25700	24910.2	25695.7	30834.4	24927	27927.7	30563.4	22040.3	26490.7	27086.8	20469.5794167465	18486.1526047504	17329.9266575301	17803.3042529333	15748.2970743594	26451.6836917278	9237.95745225256	18654.3357893338	21789.211659694	13794.9864184791	17978.0002051872	7792.74128115441	7
DUSP14	O95147	DUS14_HUMAN	7144.3	9095.46	9881.25	8856.68	5236.17	9014.45	6950.85	5999.34	12052.4	9606.51	6888.5	6150.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DUSP3	P51452	DUS3_HUMAN	31511.9	29131.3	27636.5	30445.3	29249.6	31174.1	27040.8	23741.4	28433.2	27386.1	24557.6	37376.8	18173.9860132587	18000.3528500843	13353.3256148138	18125.7969640066	16440.0907789228	17351.4651995476	14942.4181980985	18476.974832279	16219.7811080483	13845.2997794992	13026.7153164438	17245.6003939435	8
